"","h","lower","median","upper"
"1",0.2,0,0,0
"2",0.201,0,0,0
"3",0.202,0,0,0
"4",0.203,0,0,0
"5",0.204,0,0,0
"6",0.205,0,0,0
"7",0.206,0,0,0
"8",0.207,0,1.25927406006933e-05,0.00367910824492424
"9",0.208,0,5.4809786030761e-05,0.00397442981332466
"10",0.209,0,9.70268314608286e-05,0.00426975138172507
"11",0.21,0,0.000139243876890896,0.00456507295012549
"12",0.211,0,0.000181460922320964,0.00486039451852591
"13",0.212,0,0.000223677967751032,0.00515571608692632
"14",0.213,0,0.000265895013181099,0.00545103765532674
"15",0.214,0,0.000308112058611167,0.00574635922372716
"16",0.215,0,0.000350329104041234,0.00604168079212757
"17",0.216,0,0.000392546149471302,0.00633700236052799
"18",0.217,0,0.00043476319490137,0.0066323239289284
"19",0.218,0,0.000476980240331437,0.00692764549732882
"20",0.219,0,0.000519197285761504,0.00722296706572923
"21",0.22,0,0.000561414331191571,0.00751828863412964
"22",0.221,0,0.000603631376621639,0.00781361020253006
"23",0.222,0,0.000645848422051707,0.00810893177093048
"24",0.223,0,0.000688065467481774,0.00840425333933089
"25",0.224,0,0.000730282512911842,0.00869957490773131
"26",0.225,0,0.00077249955834191,0.00899489647613172
"27",0.226,0,0.000814716603771977,0.00929021804453214
"28",0.227,0,0.000856933649202045,0.00958553961293256
"29",0.228,0,0.000899150694632113,0.00988086118133297
"30",0.229,0,0.00094136774006218,0.0101761827497334
"31",0.23,0,0.000983584785492248,0.0104715043181338
"32",0.231,0,0.00102580183092232,0.0107668258865342
"33",0.232,0,0.00106801887635238,0.0110621474549346
"34",0.233,0,0.00111023592178245,0.0113574690233351
"35",0.234,0,0.00115245296721252,0.0116527905917355
"36",0.235,0,0.00119467001264259,0.0119481121601359
"37",0.236,0,0.00123688705807265,0.0122434337285363
"38",0.237,0,0.00127910410350272,0.0125387552969367
"39",0.238,0,0.00132132114893279,0.0128340768653371
"40",0.239,0,0.00136353819436286,0.0131293984337376
"41",0.24,0,0.00140575523979292,0.013424720002138
"42",0.241,0,0.00144797228522299,0.0137200415705384
"43",0.242,0,0.00149018933065306,0.0140153631389388
"44",0.243,0,0.00153240637608313,0.0143106847073392
"45",0.244,0,0.00157462342151319,0.0146060062757396
"46",0.245,0,0.00161684046694326,0.01490132784414
"47",0.246,0,0.00165905751237333,0.0151966494125405
"48",0.247,0,0.0017012745578034,0.0154919709809409
"49",0.248,0,0.00174349160323346,0.0157872925493413
"50",0.249,0,0.00178570864866353,0.0160826141177417
"51",0.25,0,0.0018279256940936,0.0163779356861421
"52",0.251,0,0.00187014273952367,0.0166732572545425
"53",0.252,0,0.00191235978495373,0.016968578822943
"54",0.253,0,0.0019545768303838,0.0172639003913434
"55",0.254,0,0.00199679387581387,0.0175592219597438
"56",0.255,0,0.00203901092124394,0.0178545435281442
"57",0.256,0,0.00208122796667401,0.0181498650965446
"58",0.257,0,0.00225673894713971,0.0185927771726382
"59",0.258,0,0.00274582266674254,0.0193828945417231
"60",0.259,0,0.00323490638634536,0.0201730119108079
"61",0.26,0,0.00372399010594818,0.0209631292798927
"62",0.261,0,0.00421307382555101,0.0217532466489775
"63",0.262,0,0.00470215754515383,0.0225433640180623
"64",0.263,0,0.00519124126475665,0.0233334813871471
"65",0.264,0,0.00568032498435948,0.0241235987562319
"66",0.265,0,0.0061694087039623,0.0249137161253168
"67",0.266,0,0.00665849242356512,0.0257038334944016
"68",0.267,0,0.00714757614316795,0.0264939508634864
"69",0.268,0,0.00763665986277077,0.0272840682325712
"70",0.269,0,0.0081257435823736,0.028074185601656
"71",0.27,0,0.00861482730197642,0.0288643029707408
"72",0.271,0,0.00910391102157924,0.0296544203398256
"73",0.272,0,0.00959299474118207,0.0304445377089105
"74",0.273,0,0.0100820784607849,0.0312346550779953
"75",0.274,0,0.0105711621803877,0.0320247724470801
"76",0.275,0,0.0110602458999905,0.0328148898161649
"77",0.276,0,0.0115493296195934,0.0336050071852497
"78",0.277,0,0.0120384133391962,0.0343951245543345
"79",0.278,0,0.012527497058799,0.0351852419234193
"80",0.279,0,0.0130165807784018,0.0359753592925042
"81",0.28,0,0.0135056644980047,0.036765476661589
"82",0.281,0,0.0139947482176075,0.0375555940306738
"83",0.282,0,0.0144838319372103,0.0383457113997586
"84",0.283,0,0.0149729156568131,0.0391358287688434
"85",0.284,0,0.015461999376416,0.0399259461379282
"86",0.285,0,0.0159510830960188,0.040716063507013
"87",0.286,0,0.0164401668156216,0.0415061808760979
"88",0.287,0,0.0169292505352244,0.0422962982451827
"89",0.288,0,0.0174183342548272,0.0430864156142675
"90",0.289,0,0.0179074179744301,0.0438765329833523
"91",0.29,0,0.0183965016940329,0.0446666503524371
"92",0.291,0,0.0188855854136357,0.0454567677215219
"93",0.292,0,0.0193746691332385,0.0462468850906067
"94",0.293,0,0.0198637528528414,0.0470370024596916
"95",0.294,0,0.0203528365724442,0.0478271198287764
"96",0.295,0,0.020841920292047,0.0486172371978612
"97",0.296,0,0.0213310040116498,0.049407354566946
"98",0.297,0,0.0218200877312527,0.0501974719360308
"99",0.298,0,0.0223091714508555,0.0509875893051156
"100",0.299,0,0.0227982551704583,0.0517777066742004
"101",0.3,0,0.0232873388900611,0.0525678240432853
"102",0.301,0,0.0237764226096639,0.0533579414123701
"103",0.302,0,0.0242655063292668,0.0541480587814549
"104",0.303,0,0.0247545900488696,0.0549381761505397
"105",0.304,0,0.0252436737684724,0.0557282935196245
