dateTime,mm 15min
2018-10-05T00:00:00,0
2018-10-05T00:15:00,0
2018-10-05T00:30:00,0
2018-10-05T00:45:00,0
2018-10-05T01:00:00,0
2018-10-05T01:15:00,0.24
2018-10-05T01:30:00,0.22
2018-10-05T01:45:00,0.1
2018-10-05T02:00:00,0.2
2018-10-05T02:15:00,0.29
2018-10-05T02:30:00,0.03
2018-10-05T02:45:00,0.1
2018-10-05T03:00:00,0.29
2018-10-05T03:15:00,0.38
2018-10-05T03:30:00,0.25
2018-10-05T03:45:00,0.33
2018-10-05T04:00:00,0.36
2018-10-05T04:15:00,0.4
2018-10-05T04:30:00,0.32
2018-10-05T04:45:00,0.48
2018-10-05T05:00:00,0.66
2018-10-05T05:15:00,0.53
2018-10-05T05:30:00,0.18
2018-10-05T05:45:00,0.28
2018-10-05T06:00:00,0.29
2018-10-05T06:15:00,0.46
2018-10-05T06:30:00,0.68
2018-10-05T06:45:00,0.84
2018-10-05T07:00:00,0.46
2018-10-05T07:15:00,0.59
2018-10-05T07:30:00,0.67
2018-10-05T07:45:00,0.92
2018-10-05T08:00:00,0.53
2018-10-05T08:15:00,0.45
2018-10-05T08:30:00,0.07
2018-10-05T08:45:00,0
2018-10-05T09:00:00,0.29
2018-10-05T09:15:00,0.47
2018-10-05T09:30:00,0.26
2018-10-05T09:45:00,0.26
2018-10-05T10:00:00,0.25
2018-10-05T10:15:00,0.08
2018-10-05T10:30:00,0
2018-10-05T10:45:00,0
2018-10-05T11:00:00,0
2018-10-05T11:15:00,0
2018-10-05T11:30:00,0
2018-10-05T11:45:00,0
2018-10-05T12:00:00,0
2018-10-05T12:15:00,0
2018-10-05T12:30:00,0
2018-10-05T12:45:00,0
2018-10-05T13:00:00,0
2018-10-05T13:15:00,0
2018-10-05T13:30:00,0
2018-10-05T13:45:00,0
2018-10-05T14:00:00,0
2018-10-05T14:15:00,0
2018-10-05T14:30:00,0
2018-10-05T14:45:00,0
2018-10-05T15:00:00,0
2018-10-05T15:15:00,0
2018-10-05T15:30:00,0
2018-10-05T15:45:00,0
2018-10-05T16:00:00,0
2018-10-05T16:15:00,0
2018-10-05T16:30:00,0
2018-10-05T16:45:00,0
2018-10-05T17:00:00,0
2018-10-05T17:15:00,0
2018-10-05T17:30:00,0.08
2018-10-05T17:45:00,0
2018-10-05T18:00:00,0
2018-10-05T18:15:00,0
2018-10-05T18:30:00,0
2018-10-05T18:45:00,0
2018-10-05T19:00:00,0
2018-10-05T19:15:00,0
2018-10-05T19:30:00,0
2018-10-05T19:45:00,0
2018-10-05T20:00:00,0
2018-10-05T20:15:00,0
2018-10-05T20:30:00,0
2018-10-05T20:45:00,0
2018-10-05T21:00:00,0
2018-10-05T21:15:00,0
2018-10-05T21:30:00,0
2018-10-05T21:45:00,0
2018-10-05T22:00:00,0
2018-10-05T22:15:00,0
2018-10-05T22:30:00,0
2018-10-05T22:45:00,0
2018-10-05T23:00:00,0
2018-10-05T23:15:00,0
2018-10-05T23:30:00,0
2018-10-05T23:45:00,0
2018-10-06T00:00:00,0
2018-10-06T00:15:00,0
2018-10-06T00:30:00,0
2018-10-06T00:45:00,0
2018-10-06T01:00:00,0
2018-10-06T01:15:00,0
2018-10-06T01:30:00,0
2018-10-06T01:45:00,0
2018-10-06T02:00:00,0
2018-10-06T02:15:00,0
2018-10-06T02:30:00,0
2018-10-06T02:45:00,0
2018-10-06T03:00:00,0
2018-10-06T03:15:00,0
2018-10-06T03:30:00,0
2018-10-06T03:45:00,0
2018-10-06T04:00:00,0
2018-10-06T04:15:00,0
2018-10-06T04:30:00,0
2018-10-06T04:45:00,0
2018-10-06T05:00:00,0
2018-10-06T05:15:00,0
2018-10-06T05:30:00,0
2018-10-06T05:45:00,0
2018-10-06T06:00:00,0
2018-10-06T06:15:00,0
2018-10-06T06:30:00,0
2018-10-06T06:45:00,0
2018-10-06T07:00:00,0
2018-10-06T07:15:00,0
2018-10-06T07:30:00,0
2018-10-06T07:45:00,0
2018-10-06T08:00:00,0
2018-10-06T08:15:00,0
2018-10-06T08:30:00,0
2018-10-06T08:45:00,0
2018-10-06T09:00:00,0
2018-10-06T09:15:00,0
2018-10-06T09:30:00,0
2018-10-06T09:45:00,0
2018-10-06T10:00:00,0
2018-10-06T10:15:00,0
2018-10-06T10:30:00,0
2018-10-06T10:45:00,0
2018-10-06T11:00:00,0
2018-10-06T11:15:00,0
2018-10-06T11:30:00,0
2018-10-06T11:45:00,0
2018-10-06T12:00:00,0
2018-10-06T12:15:00,0
2018-10-06T12:30:00,0
2018-10-06T12:45:00,0
2018-10-06T13:00:00,0
2018-10-06T13:15:00,0
2018-10-06T13:30:00,0
2018-10-06T13:45:00,0
2018-10-06T14:00:00,0
2018-10-06T14:15:00,0
2018-10-06T14:30:00,0
2018-10-06T14:45:00,0
2018-10-06T15:00:00,0
2018-10-06T15:15:00,0
2018-10-06T15:30:00,0
2018-10-06T15:45:00,0
2018-10-06T16:00:00,0
2018-10-06T16:15:00,0
2018-10-06T16:30:00,0
2018-10-06T16:45:00,0
2018-10-06T17:00:00,0
2018-10-06T17:15:00,0
2018-10-06T17:30:00,0
2018-10-06T17:45:00,0
2018-10-06T18:00:00,0
2018-10-06T18:15:00,0
2018-10-06T18:30:00,0
2018-10-06T18:45:00,0
2018-10-06T19:00:00,0
2018-10-06T19:15:00,0
2018-10-06T19:30:00,0
2018-10-06T19:45:00,0
2018-10-06T20:00:00,0
2018-10-06T20:15:00,0
2018-10-06T20:30:00,0
2018-10-06T20:45:00,0
2018-10-06T21:00:00,0
2018-10-06T21:15:00,0
2018-10-06T21:30:00,0
2018-10-06T21:45:00,0
2018-10-06T22:00:00,0
2018-10-06T22:15:00,0
2018-10-06T22:30:00,0
2018-10-06T22:45:00,0
2018-10-06T23:00:00,0
2018-10-06T23:15:00,0
2018-10-06T23:30:00,0
2018-10-06T23:45:00,0
2018-10-07T00:00:00,0
2018-10-07T00:15:00,0
2018-10-07T00:30:00,0
2018-10-07T00:45:00,0
2018-10-07T01:00:00,0
2018-10-07T01:15:00,0
2018-10-07T01:30:00,0
2018-10-07T01:45:00,0
2018-10-07T02:00:00,0
2018-10-07T02:15:00,0
2018-10-07T02:30:00,0
2018-10-07T02:45:00,0
2018-10-07T03:00:00,0
2018-10-07T03:15:00,0
2018-10-07T03:30:00,0
2018-10-07T03:45:00,0
2018-10-07T04:00:00,0
2018-10-07T04:15:00,0
2018-10-07T04:30:00,0
2018-10-07T04:45:00,0
2018-10-07T05:00:00,0
2018-10-07T05:15:00,0
2018-10-07T05:30:00,0
2018-10-07T05:45:00,0
2018-10-07T06:00:00,0
2018-10-07T06:15:00,0
2018-10-07T06:30:00,0
2018-10-07T06:45:00,0
2018-10-07T07:00:00,0
2018-10-07T07:15:00,0
2018-10-07T07:30:00,0
2018-10-07T07:45:00,0
2018-10-07T08:00:00,0
2018-10-07T08:15:00,0
2018-10-07T08:30:00,0
2018-10-07T08:45:00,0
2018-10-07T09:00:00,0
2018-10-07T09:15:00,0
2018-10-07T09:30:00,0
2018-10-07T09:45:00,0
2018-10-07T10:00:00,0
2018-10-07T10:15:00,0
2018-10-07T10:30:00,0
2018-10-07T10:45:00,0
2018-10-07T11:00:00,0
2018-10-07T11:15:00,0
2018-10-07T11:30:00,0
2018-10-07T11:45:00,0
2018-10-07T12:00:00,0
2018-10-07T12:15:00,0
2018-10-07T12:30:00,0
2018-10-07T12:45:00,0
2018-10-07T13:00:00,0
2018-10-07T13:15:00,0
2018-10-07T13:30:00,0
2018-10-07T13:45:00,0
2018-10-07T14:00:00,0
2018-10-07T14:15:00,0
2018-10-07T14:30:00,0
2018-10-07T14:45:00,0
2018-10-07T15:00:00,0.16
2018-10-07T15:15:00,0.14
2018-10-07T15:30:00,0.12
2018-10-07T15:45:00,0.24
2018-10-07T16:00:00,0.14
2018-10-07T16:15:00,0.13
2018-10-07T16:30:00,0.2
2018-10-07T16:45:00,0.22
2018-10-07T17:00:00,0.3
2018-10-07T17:15:00,0.37
2018-10-07T17:30:00,0.32
2018-10-07T17:45:00,0.43
2018-10-07T18:00:00,0.47
2018-10-07T18:15:00,0.46
2018-10-07T18:30:00,0.48
2018-10-07T18:45:00,0.67
2018-10-07T19:00:00,1.15
2018-10-07T19:15:00,0.81
2018-10-07T19:30:00,0.13
2018-10-07T19:45:00,0
2018-10-07T20:00:00,0
2018-10-07T20:15:00,0
2018-10-07T20:30:00,0
2018-10-07T20:45:00,0
2018-10-07T21:00:00,0
2018-10-07T21:15:00,0.07
2018-10-07T21:30:00,0
2018-10-07T21:45:00,0
2018-10-07T22:00:00,0
2018-10-07T22:15:00,0
2018-10-07T22:30:00,0
2018-10-07T22:45:00,0
2018-10-07T23:00:00,0
2018-10-07T23:15:00,0
2018-10-07T23:30:00,0
2018-10-07T23:45:00,0
2018-10-08T00:00:00,0
2018-10-08T00:15:00,0
2018-10-08T00:30:00,0
2018-10-08T00:45:00,0
